N,Triton,Torch (native),Torch (jit)
256.000000,372.363633,409.600010,130.031747
384.000000,409.600010,409.600010,111.709090
512.000000,431.157914,420.102579,111.455783
640.000000,445.217381,435.744668,111.912570
768.000000,455.111110,446.836360,112.733944
896.000000,462.451619,448.000001,113.328061
1024.000000,461.521112,455.111095,114.174215
1152.000000,466.632925,438.857146,114.841122
1280.000000,465.454542,435.744668,115.380283
1408.000000,469.333317,421.084113,115.528205
1536.000000,472.615390,390.095241,116.198584
1664.000000,475.428565,394.429645,116.516415
1792.000000,477.866679,377.263175,116.790221
1920.000000,476.279097,367.904179,116.917225
2048.000000,478.364979,385.505884,117.870507
2176.000000,473.687079,464.213311,117.820639
2304.000000,475.664511,463.698105,117.870506
2432.000000,474.536593,460.497024,118.094080
2560.000000,476.279070,457.653644,118.210682
2688.000000,477.866659,457.531902,117.830132
2816.000000,479.319135,450.560011,117.947644
2944.000000,478.213195,446.483400,117.907388
3072.000000,479.531698,446.836360,118.012005
3200.000000,478.504674,437.606826,118.244801
3328.000000,481.882364,434.677546,118.328891
3456.000000,480.834772,430.319054,118.406851
3584.000000,481.882367,423.202956,118.601858
3712.000000,480.906904,419.731447,118.428719
3840.000000,481.882369,416.542365,118.610042
3968.000000,480.969693,408.282944,118.669159
4096.000000,481.882344,414.784823,118.509941
4224.000000,481.024935,413.357815,118.881262
4352.000000,481.882372,404.837209,118.825943
4480.000000,481.073827,394.931130,119.069770
4608.000000,481.882350,385.505880,119.204528
4736.000000,481.117442,376.995020,119.051058
4864.000000,481.882374,370.590479,119.179169
4992.000000,481.156632,361.411773,119.211944
5120.000000,481.882355,352.344094,119.504015
5248.000000,481.191965,346.259796,119.357498
5376.000000,481.882337,341.333336,119.466665
5504.000000,481.224053,331.691132,119.855732
5632.000000,480.597329,327.680002,119.591245
5760.000000,479.999983,319.999989,119.921930
5888.000000,479.430032,315.604687,119.705210
6016.000000,480.079803,309.008011,119.795892
6144.000000,479.531698,311.088617,118.296031
6272.000000,479.007172,307.828213,119.573430
6400.000000,479.625302,302.958569,119.696085
6528.000000,479.119264,296.306377,120.124211
6656.000000,478.633695,293.377411,120.130852
6784.000000,479.222973,288.297488,120.337029
6912.000000,478.753251,286.507772,119.947942
7040.000000,478.301479,280.897757,119.957403
7168.000000,478.864291,279.386107,119.903815
7296.000000,478.426239,274.672938,119.790658
7424.000000,478.004023,274.645084,120.105161
7552.000000,477.596827,270.015641,120.051666
7680.000000,478.132283,268.296946,120.146658
7808.000000,477.736116,266.655290,120.065352
7936.000000,477.353405,265.918326,120.242423
8064.000000,476.983376,262.510672,120.106111
8192.000000,475.760432,261.882103,122.040965
8320.000000,479.711732,264.652094,121.709727
8448.000000,479.319160,264.000001,121.827856
8576.000000,478.104525,262.112689,121.861461
8704.000000,479.394148,261.774448,121.947464
8832.000000,478.213183,260.723250,121.820691
8960.000000,477.866644,260.891723,121.956616
9088.000000,477.530393,259.425504,121.833263
9216.000000,477.977322,259.834355,122.167358
9344.000000,476.886761,258.433889,121.994286
9472.000000,477.329131,259.395795,122.022542
9600.000000,477.018623,257.502095,122.001585
9728.000000,477.447840,258.122723,122.220648
9856.000000,475.704385,256.207973,122.008516
9984.000000,476.847776,257.443993,122.035145
10112.000000,475.160055,254.991332,122.015086
10240.000000,475.587803,257.610058,122.291482
10368.000000,475.323770,256.891998,121.685681
10496.000000,477.090905,256.782885,122.113066
10624.000000,474.815655,256.000003,121.939740
10752.000000,475.883834,255.809666,122.355619
10880.000000,475.303761,254.689091,122.161401
11008.000000,476.021629,255.443070,122.353593
11136.000000,475.770361,253.811969,122.059247
11264.000000,477.414578,254.553680,122.413984
11392.000000,476.216847,253.155552,122.125297
11520.000000,475.051564,254.059271,122.471757
11648.000000,476.035745,252.360197,122.168471
11776.000000,476.399478,253.588152,122.546996
11904.000000,474.972572,251.853225,122.190221
12032.000000,475.338273,253.138715,122.404702
12160.000000,473.958574,251.531994,122.230253
12288.000000,477.203890,253.851511,122.611788
12416.000000,474.119344,253.387763,112.744607
12544.000000,439.658257,231.626076,122.305908
12672.000000,474.551207,252.807982,122.139763
