size,Triton,Torch
4096.000000,12.000000,12.000000
8192.000000,24.000000,24.000000
16384.000000,39.638709,48.000000
32768.000000,76.800002,76.800002
65536.000000,127.999995,127.999995
131072.000000,219.428568,219.428568
262144.000000,279.272725,282.482757
524288.000000,384.000001,384.000001
1048576.000000,423.724127,423.724127
2097152.000000,446.836360,453.536319
4194304.000000,463.698115,472.615390
8388608.000000,472.615390,481.145307
16777216.000000,477.203890,485.451853
33554432.000000,478.947611,485.451853
67108864.000000,479.824276,488.163860
134217728.000000,480.410505,489.150653
