size,Triton,Torch
4096.000000,12.000000,12.000000
8192.000000,24.000000,24.000000
16384.000000,48.000000,48.000000
32768.000000,96.000000,96.000000
65536.000000,192.000000,192.000000
131072.000000,255.999991,255.999991
262144.000000,501.551037,509.347151
524288.000000,614.400016,614.400016
1048576.000000,682.666643,682.666643
2097152.000000,687.440572,685.642544
4194304.000000,744.727267,744.727267
8388608.000000,767.344329,767.250728
16777216.000000,777.106702,777.106702
33554432.000000,783.298835,780.238872
67108864.000000,784.813353,784.862318
134217728.000000,786.431963,786.395160
