N,Triton,Torch (native),Torch (jit)
256.000000,585.142849,697.191469,217.186414
384.000000,682.666643,682.666643,261.446801
512.000000,690.761513,682.666643,297.890907
640.000000,706.206879,731.428561,304.535303
768.000000,725.490783,744.727267,325.914632
896.000000,752.052474,752.669420,343.698811
1024.000000,744.727267,744.727267,337.814445
1152.000000,708.923085,695.547173,323.368415
1280.000000,718.596477,706.206879,317.519398
1408.000000,738.622965,726.709687,321.828563
1536.000000,726.496089,702.171410,314.321348
1664.000000,732.088498,700.631610,300.411854
1792.000000,753.906356,716.800018,287.754121
1920.000000,749.268305,728.852628,273.941761
2048.000000,762.046512,728.177767,265.327947
2176.000000,745.849055,595.145283,248.685708
2304.000000,737.280019,614.400016,239.158238
2432.000000,748.307701,632.715420,228.799483
2560.000000,752.422506,645.039336,221.246571
2688.000000,748.779097,656.610720,219.288725
2816.000000,757.243719,678.809758,217.448463
2944.000000,747.682546,687.649658,214.535726
3072.000000,744.727267,692.281669,210.952791
3200.000000,750.870732,701.369835,210.719909
3328.000000,755.290797,705.271522,209.521804
3456.000000,756.831445,708.923101,208.136449
3584.000000,759.523178,712.555288,206.273387
3712.000000,756.585977,719.903009,206.222215
3840.000000,753.865011,718.596462,205.829144
3968.000000,754.826708,722.609257,206.030579
4096.000000,757.641649,732.245830,204.161994
4224.000000,759.370778,730.637849,204.094564
4352.000000,761.005479,732.968397,204.115232
4480.000000,758.518525,736.241352,203.636362
4608.000000,757.276820,748.507610,203.028783
4736.000000,757.760019,751.769339,202.804502
4864.000000,762.746720,751.922689,202.403127
4992.000000,757.080547,760.685720,202.720811
5120.000000,762.046537,762.046537,201.952155
5248.000000,759.891421,759.891421,202.020678
5376.000000,757.850231,755.873149,200.503493
5504.000000,755.914167,762.458881,201.454617
5632.000000,760.438818,760.438818,201.079734
5760.000000,759.006582,758.518512,201.301686
5888.000000,762.528357,762.817848,200.016982
6016.000000,760.916979,760.916979,201.372384
6144.000000,755.186184,753.287332,200.697198
6272.000000,757.373557,762.725256,200.503485
6400.000000,761.338259,761.338259,200.009153
6528.000000,759.621822,759.621822,199.447184
6656.000000,762.984905,763.412187,198.756087
6784.000000,761.712315,761.712315,198.571232
6912.000000,755.619490,760.082464,199.754117
7040.000000,762.691473,758.518540,198.266230
7168.000000,759.523178,762.046530,198.379241
7296.000000,760.495091,760.495091,198.080569
7424.000000,761.435924,759.003203,198.097145
7552.000000,762.347008,757.567366,196.794782
7680.000000,760.572565,760.866907,197.357961
7808.000000,759.729377,759.332544,198.251697
7936.000000,760.335304,758.065695,197.474337
8064.000000,761.133380,760.922981,198.153123
8192.000000,761.078595,761.769704,198.556337
8320.000000,762.865310,758.518529,198.302734
8448.000000,758.471988,761.509867,198.154959
8576.000000,762.311100,762.311100,198.101147
8704.000000,762.829197,761.070416,197.923617
8832.000000,761.789753,759.741916,197.662920
8960.000000,762.553169,760.530525,198.147898
9088.000000,763.296606,761.298433,198.373808
9216.000000,764.020726,761.985010,198.694297
9344.000000,762.775535,756.264281,198.639298
9472.000000,763.486153,755.781988,198.936091
9600.000000,763.170585,751.014177,199.444098
9728.000000,762.980406,751.922689,199.165704
9856.000000,762.391890,754.413521,198.734722
9984.000000,762.330603,753.509437,199.182046
10112.000000,763.169815,753.150378,198.359970
10240.000000,762.046537,754.615524,199.362321
10368.000000,760.954125,755.055274,199.074314
10496.000000,763.345449,756.468460,199.142206
10624.000000,762.260105,755.484457,199.380107
10752.000000,762.891353,754.526301,198.373881
10880.000000,761.838095,755.740061,71.062123
11008.000000,105.101537,107.088021,15.359407
11136.000000,105.494934,107.060334,15.203521
11264.000000,105.220128,107.147138,15.284584
11392.000000,105.025644,107.136109,15.318453
11520.000000,105.265566,107.100526,15.414443
11648.000000,105.362413,107.156161,15.289146
11776.000000,105.403867,107.114456,15.388003
11904.000000,105.340580,107.067093,15.364289
12032.000000,105.428256,107.249022,15.353135
12160.000000,105.349082,107.073918,15.188931
12288.000000,105.414539,99.953224,6.194295
12416.000000,106.318436,30.407428,15.693932
12544.000000,107.496305,101.574463,11.243050
12672.000000,108.568674,102.054909,15.588776
