M,N,K,cuBLAS,Triton
256.000000,256.000000,256.000000,4.681143,4.681143
384.000000,384.000000,384.000000,12.288000,12.288000
512.000000,512.000000,512.000000,23.831273,23.831273
640.000000,640.000000,640.000000,30.117647,36.571428
768.000000,768.000000,768.000000,49.151998,52.043293
896.000000,896.000000,896.000000,54.035693,56.197121
1024.000000,1024.000000,1024.000000,69.905068,72.315584
1152.000000,1152.000000,1152.000000,51.482481,59.719682
1280.000000,1280.000000,1280.000000,77.283019,71.859648
1408.000000,1408.000000,1408.000000,68.147202,79.011245
1536.000000,1536.000000,1536.000000,93.130109,90.742157
1664.000000,1664.000000,1664.000000,76.913776,74.990935
1792.000000,1792.000000,1792.000000,79.712229,84.506951
1920.000000,1920.000000,1920.000000,70.172588,74.724325
2048.000000,2048.000000,2048.000000,85.163532,80.273759
2176.000000,2176.000000,2176.000000,66.414678,69.873775
2304.000000,2304.000000,2304.000000,72.168800,78.192708
2432.000000,2432.000000,2432.000000,70.236162,74.127872
2560.000000,2560.000000,2560.000000,72.817779,75.328737
2688.000000,2688.000000,2688.000000,67.616853,73.799718
2816.000000,2816.000000,2816.000000,67.202170,78.726003
2944.000000,2944.000000,2944.000000,66.894000,74.271286
3072.000000,3072.000000,3072.000000,68.056616,78.752578
3200.000000,3200.000000,3200.000000,64.777331,72.727272
3328.000000,3328.000000,3328.000000,66.627764,74.065119
3456.000000,3456.000000,3456.000000,65.652741,69.923300
3584.000000,3584.000000,3584.000000,74.126454,72.835475
3712.000000,3712.000000,3712.000000,69.373155,66.955327
3840.000000,3840.000000,3840.000000,70.553113,72.258738
3968.000000,3968.000000,3968.000000,71.526342,72.118167
4096.000000,4096.000000,4096.000000,57.579462,70.585183
